"","year","state","month","number","date"
"518",2016,"Amapa","February",1,2016-01-01
"519",2017,"Amapa","February",0,2017-01-01
"520",1998,"Amapa","March",0,1998-01-01
"521",1999,"Amapa","March",2,1999-01-01
"522",2000,"Amapa","March",0,2000-01-01
"523",2001,"Amapa","March",0,2001-01-01
"524",2002,"Amapa","March",0,2002-01-01
"525",2003,"Amapa","March",1,2003-01-01
"526",2004,"Amapa","March",0,2004-01-01
"527",2005,"Amapa","March",0,2005-01-01
"528",2006,"Amapa","March",0,2006-01-01
"529",2007,"Amapa","March",0,2007-01-01
"530",2008,"Amapa","March",1,2008-01-01
"531",2009,"Amapa","March",1,2009-01-01
"532",2010,"Amapa","March",2,2010-01-01
"533",2011,"Amapa","March",0,2011-01-01
"534",2012,"Amapa","March",1,2012-01-01
"535",2013,"Amapa","March",0,2013-01-01
"536",2014,"Amapa","March",1,2014-01-01
"537",2015,"Amapa","March",2,2015-01-01
"538",2016,"Amapa","March",5,2016-01-01
"539",2017,"Amapa","March",0,2017-01-01
"540",1998,"Amapa","April",0,1998-01-01
"541",1999,"Amapa","April",0,1999-01-01
"542",2000,"Amapa","April",0,2000-01-01
"543",2001,"Amapa","April",0,2001-01-01
"544",2002,"Amapa","April",0,2002-01-01
"545",2003,"Amapa","April",2,2003-01-01
"546",2004,"Amapa","April",0,2004-01-01
"547",2005,"Amapa","April",0,2005-01-01
"548",2006,"Amapa","April",0,2006-01-01
"549",2007,"Amapa","April",0,2007-01-01
"550",2008,"Amapa","April",2,2008-01-01
"551",2009,"Amapa","April",0,2009-01-01
"552",2010,"Amapa","April",2,2010-01-01
"553",2011,"Amapa","April",0,2011-01-01
"554",2012,"Amapa","April",2,2012-01-01
"555",2013,"Amapa","April",2,2013-01-01
"556",2014,"Amapa","April",0,2014-01-01
"557",2015,"Amapa","April",0,2015-01-01
"558",2016,"Amapa","April",0,2016-01-01
"559",2017,"Amapa","April",3,2017-01-01
"560",1998,"Amapa","May",0,1998-01-01
"561",1999,"Amapa","May",0,1999-01-01
"562",2000,"Amapa","May",0,2000-01-01
"563",2001,"Amapa","May",0,2001-01-01
"564",2002,"Amapa","May",3,2002-01-01
"565",2003,"Amapa","May",0,2003-01-01
"566",2004,"Amapa","May",0,2004-01-01
"567",2005,"Amapa","May",0,2005-01-01
"568",2006,"Amapa","May",0,2006-01-01
"569",2007,"Amapa","May",0,2007-01-01
"570",2008,"Amapa","May",0,2008-01-01
"571",2009,"Amapa","May",2,2009-01-01
"572",2010,"Amapa","May",2,2010-01-01
"573",2011,"Amapa","May",2,2011-01-01
"574",2012,"Amapa","May",2,2012-01-01
"575",2013,"Amapa","May",0,2013-01-01
"576",2014,"Amapa","May",0,2014-01-01
"577",2015,"Amapa","May",0,2015-01-01
"578",2016,"Amapa","May",1,2016-01-01
"579",2017,"Amapa","May",1,2017-01-01
"580",1998,"Amapa","June",0,1998-01-01
"581",1999,"Amapa","June",2,1999-01-01
"582",2000,"Amapa","June",0,2000-01-01
"583",2001,"Amapa","June",0,2001-01-01
"584",2002,"Amapa","June",0,2002-01-01
"585",2003,"Amapa","June",0,2003-01-01
"586",2004,"Amapa","June",5,2004-01-01
"587",2005,"Amapa","June",2,2005-01-01
"588",2006,"Amapa","June",0,2006-01-01
"589",2007,"Amapa","June",0,2007-01-01
"590",2008,"Amapa","June",0,2008-01-01
"591",2009,"Amapa","June",1,2009-01-01
"592",2010,"Amapa","June",0,2010-01-01
"593",2011,"Amapa","June",0,2011-01-01
"594",2012,"Amapa","June",7,2012-01-01
"595",2013,"Amapa","June",1,2013-01-01
"596",2014,"Amapa","June",0,2014-01-01
"597",2015,"Amapa","June",3,2015-01-01
"598",2016,"Amapa","June",2,2016-01-01
"599",2017,"Amapa","June",2,2017-01-01
"600",1998,"Amapa","July",0,1998-01-01
"601",1999,"Amapa","July",0,1999-01-01
"602",2000,"Amapa","July",0,2000-01-01
